Designation,EmpID,Division_ID,Tenure_in_org_in_months,Gross_Pay,Net_Pay,Deduction,Deduction_percentage
Billing Specialist.Senior Lead.,7074,52,98,114995,97356,17639,15.34
Billing Specialist.Senior Lead.,4226,52,146,118705,99377,19328,16.28
Billing Specialist.Senior.,11521,52,67,112193,95460,16733,14.91
Billing Specialist.Senior.,11686,52,66,100945,66953,33992,33.67
Booking Operations Analyst II..,19503,55,32,79625,57318,22307,28.02
Booking Operations Analyst II..,18780,55,35,102846,73199,29647,28.83
Booking Operations Analyst II..,16312,55,12,99871,75829,24042,24.07
Booking Operations Analyst II..,17358,55,40,95798,84390,11408,11.91
Booking Operations Analyst II..,17425,55,40,86990,77701,9289,10.68
Booking Operations Analyst..,21613,55,15,88822,50604,38218,43.03
Booking Operations Analyst.Senior Lead.,5004,55,121,119991,102286,17705,14.76
Booking Operations Analyst.Senior.,10974,55,70,115710,98151,17559,15.18
Business Operations Analyst II..,19549,60,31,118810,99195,19615,16.51
Business Operations Analyst II..,17400,60,40,106343,98165,8178,7.69
Business Operations Analyst II..,22951,153,7,105705,99877,5828,5.51
Business Operations Analyst II..,16841,60,44,99948,72988,26960,26.97
Business Operations Analyst II..,22903,87,7,112067,105317,6750,6.02
Business Operations Analyst II..,4004,75,152,114404,98666,15738,13.76
Business Operations Analyst II..,9258,129,80,111259,80753,30506,27.42
Business Operations Analyst II..,18765,148,35,119724,81953,37771,31.55
Business Operations Analyst II..,17936,84,38,95440,84522,10918,11.44
Business Operations Analyst II..,12056,75,64,90095,69858,20237,22.46
Business Operations Analyst..,17357,60,40,89053,80032,9021,10.13
Business Operations Analyst..,8690,52,85,102074,86776,15298,14.99
Business Operations Analyst..,16378,60,23,78350,71189,7161,9.14
Business Operations Analyst..,21644,84,15,72547,71246,1301,1.79
Business Operations Analyst..,22999,148,6,150035,143798,6237,4.16
Business Operations Analyst..,22086,84,12,80333,75448,4885,6.08
Business Operations Analyst..,18464,53,36,100874,84620,16254,16.11
Business Operations Analyst.Senior Lead.,19007,153,34,186782,94460,92322,49.43
Business Operations Analyst.Senior Lead.,8999,148,83,162081,110751,51330,31.67
Business Operations Analyst.Senior Lead.,5785,84,102,177575,137190,40385,22.74
Business Operations Analyst.Senior.,22449,84,10,142833,128202,14631,10.24
Business Operations Analyst.Senior.,8334,98,87,147368,101134,46234,31.37
Business Operations Analyst.Senior.,14257,129,61,142850,103909,38941,27.26
Business Operations Analyst.Senior.,22788,148,8,175533,140203,35330,20.13
Business Operations Analyst.Senior.,20942,84,21,154337,93325,61012,39.53
Business Operations Analyst.Senior.,22726,153,8,162667,114570,48097,29.57
Business Operations Analyst.Senior.,22222,84,11,143800,118089,25711,17.88
Business Operations Analyst.Senior.,6475,153,90,148977,123831,25146,16.88
Business Operations Analyst.Senior.,14171,60,62,150682,119264,31418,20.85
Business Operations Analyst.Senior.,9446,98,79,127917,105822,22095,17.27
Business Operations Analyst.Senior.,7863,98,91,171305,130538,40767,23.8
Business Operations Analyst.Senior.,14630,98,60,173960,112098,61862,35.56
Business Systems Analyst..,22560,43,9,111591,105150,6441,5.77
Business Systems Analyst..,21903,43,13,100167,82684,17483,17.45
Business Systems Analyst..,21557,46,16,104133,88748,15385,14.77
Business Systems Analyst.Senior II Lead.,11649,43,67,218694,122797,95897,43.85
Business Systems Analyst.Senior II Lead.,15479,43,54,266894,196955,69939,26.2
Business Systems Analyst.Senior II Lead.,22428,34,10,225117,152745,72372,32.15
Business Systems Analyst.Senior II.,19019,34,33,188562,97476,91086,48.31
Business Systems Analyst.Senior II.,19859,43,29,183236,129736,53500,29.2
Business Systems Analyst.Senior II.,19090,34,33,182404,71820,110584,60.63
Business Systems Analyst.Senior II.,17977,34,38,178748,103325,75423,42.2
Business Systems Analyst.Senior II.,8714,88,85,213017,101622,111395,52.29
Business Systems Analyst.Senior II.,22845,34,7,181202,127772,53430,29.49
Business Systems Analyst.Senior II.,18754,34,28,219914,128433,91481,41.6
Business Systems Analyst.Senior II.,20629,77,23,234061,151138,82923,35.43
Business Systems Analyst.Senior.,17877,34,38,123232,86424,36808,29.87
Business Systems Analyst.Senior.,21028,34,20,124559,60004,64555,51.83
Business Systems Analyst.Senior.,10418,34,73,175864,148043,27821,15.82
Business Systems Analyst.Senior.,16433,43,47,142609,118454,24155,16.94
Business Systems Analyst.Senior.,19843,34,29,180820,117902,62918,34.8
Business Systems Analyst.Senior.,20257,88,25,201724,184454,17270,8.56
Business Systems Analyst.Senior.,12006,34,64,161941,113079,48862,30.17
Business Systems Analyst.Senior.,19456,43,32,135454,92948,42506,31.38
Business Systems Analyst.Senior.,18614,34,35,130485,109811,20674,15.84
Business Systems Analyst.Senior.,18559,34,36,159366,76587,82779,51.94
Business Systems Analyst.Senior.,22709,34,8,175533,128537,46996,26.77
Business Systems Analyst.Senior.,9829,82,77,153087,120870,32217,21.04
Business Systems Analyst.Senior.,6273,43,9,167600,107146,60454,36.07
Business Systems Analyst.Senior.,19398,43,32,180489,123244,57245,31.72
Business Systems Analyst.Senior.,19858,34,29,187090,113754,73336,39.2
Business Systems Analyst.Senior.,10734,34,72,154411,92577,61834,40.05
Business Systems Analyst.Senior.,6404,63,106,168397,138032,30365,18.03
Business Systems Analyst.Senior.,9965,34,31,182545,145906,36639,20.07
Business Systems Analyst.Senior.,17211,34,41,121682,97729,23953,19.68
Business Systems Analyst.Senior.,18207,34,37,167111,134108,33003,19.75
Capacity Planning Manager..,12277,111,63,224150,132824,91326,40.74
Channel Marketing Specialist.Senior.,22173,149,12,111591,92482,19109,17.12
Channel Support Manager..,3156,57,170,129398,103348,26050,20.13
Channel Support Manager..,10045,57,75,124469,87881,36588,29.4
Channel Support Manager.Senior.,14411,57,61,153224,123406,29818,19.46
Client Service Manager..,22195,15,11,102545,92467,10078,9.83
Client Service Manager..,20130,40,26,87890,78428,9462,10.77
Client Service Manager..,16248,15,48,113169,97540,15629,13.81
Client Service Manager..,22204,15,11,95681,81586,14095,14.73
Client Service Manager..,15092,15,57,119519,102814,16705,13.98
Client Service Manager..,19052,15,33,117463,94093,23370,19.9
Client Service Manager..,18799,40,35,104088,91361,12727,12.23
Client Service Manager..,18105,16,37,101757,73246,28511,28.02
Client Service Manager..,20579,15,23,94937,85343,9594,10.11
Client Service Manager..,17019,15,43,98594,86224,12370,12.55
Client Service Manager..,22154,15,12,88883,80725,8158,9.18
Client Service Manager..,19063,16,33,96081,82680,13401,13.95
Client Service Manager..,16247,15,48,85203,60474,24729,29.02
Client Service Manager..,20632,15,23,122794,90429,32365,26.36
Client Service Manager..,21584,15,15,100454,87738,12716,12.66
Client Service Manager..,22720,15,8,96367,91567,4800,4.98
Client Service Manager..,18776,40,35,100368,91847,8521,8.49
Client Service Manager..,10246,16,74,84765,73512,11253,13.28
Client Service Manager..,22353,15,10,148312,146080,2232,1.5
Client Service Manager..,19426,16,32,85441,75857,9584,11.22
Client Service Manager..,22274,15,11,100341,85888,14453,14.4
Client Service Manager..,11099,15,70,97879,83293,14586,14.9
Client Service Manager..,16768,16,45,73671,68251,5420,7.36
Client Service Manager..,19642,15,30,92883,79618,13265,14.28
Client Service Manager..,19852,15,29,89629,80282,9347,10.43
Client Service Manager..,19887,40,28,87473,78374,9099,10.4
Client Service Manager..,17931,15,38,96221,63817,32404,33.68
Client Service Manager..,19440,15,32,99079,77518,21561,21.76
Client Service Manager..,20189,40,26,90509,78808,11701,12.93
Client Service Manager..,18922,15,34,180518,151389,29129,16.14
Client Service Manager..,22573,15,9,102266,97201,5065,4.95
Client Service Manager.Associate.,17490,40,39,70549,62631,7918,11.22
Client Service Manager.Associate.,17061,16,42,62908,58870,4038,6.42
Client Service Manager.Associate.,18918,15,34,62100,58263,3837,6.18
Client Service Manager.Associate.,20149,15,26,76165,55655,20510,26.93
Client Service Manager.Associate.,18653,15,35,66079,59055,7024,10.63
Client Service Manager.Associate.,22138,15,12,71542,65668,5874,8.21
Client Service Manager.Associate.,20458,15,24,75174,67504,7670,10.2
Client Service Manager.Senior II.,4076,16,63,149638,122076,27562,18.42
Client Service Manager.Senior II.,4231,15,41,274262,187141,87121,31.77
Client Service Manager.Senior II.,9712,40,78,143647,118950,24697,17.19
Client Service Manager.Senior II.,4653,16,137,149470,118242,31228,20.89
Client Service Manager.Senior II.,4957,16,130,148259,114206,34053,22.97
Client Service Manager.Senior.,10503,16,73,121795,85800,35995,29.55
Client Service Manager.Senior.,8691,15,85,120781,104067,16714,13.84
Client Service Manager.Senior.,16440,40,47,112503,89850,22653,20.14
Client Service Manager.Senior.,9205,15,81,103347,89615,13732,13.29
Client Service Manager.Senior.,9150,15,81,121135,100692,20443,16.88
Client Service Manager.Senior.,16188,40,49,111723,97202,14521,13
Client Service Manager.Senior.,16233,15,48,113015,95562,17453,15.44
Client Service Manager.Senior.,6991,40,99,120674,106363,14311,11.86
Client Service Manager.Senior.,16228,15,48,101777,88312,13465,13.23
Client Service Manager.Senior.,16627,40,46,116975,89572,27403,23.43
Client Service Manager.Senior.,3860,16,63,121168,103403,17765,14.66
Client Service Manager.Senior.,14024,15,62,117441,56141,61300,52.2
Client Service Manager.Senior.,16252,16,48,100337,72401,27936,27.84
Client Service Manager.Senior.,10871,15,71,130814,111122,19692,15.05
Client Service Manager.Senior.,10009,15,76,124896,104439,20457,16.38
Client Service Manager.Senior.,10324,15,74,142057,101232,40825,28.74
Client Service Manager.Senior.,12255,16,63,109513,93208,16305,14.89
Client Service Manager.Senior.,15483,40,54,105715,88401,17314,16.38
Client Service Manager.Senior.,14629,15,60,124970,100901,24069,19.26
Client Service Manager.Senior.,8335,15,87,190276,152851,37425,19.67
Client Service Manager.Senior.,8870,15,84,122186,75419,46767,38.28
Client Service Manager.Senior.,8383,40,87,112341,94934,17407,15.49
Client Service Manager.Senior.,11248,15,69,119386,97432,21954,18.39
Client Service Manager.Senior.,9940,15,76,116201,94166,22035,18.96
Client Service Manager.Senior.,19889,40,28,149575,130522,19053,12.74
Client Service Manager.Senior.,16769,15,45,114830,83107,31723,27.63
Client Service Manager.Senior.,17027,15,43,126604,110360,16244,12.83
Client Service Manager.Senior.,10735,15,72,142274,117175,25099,17.64
Client Service Manager.Senior.,14638,40,60,98144,93163,4981,5.08
Client Service Manager.Senior.,15346,15,55,102828,90655,12173,11.84
Collections Specialist II..,9040,52,51,87616,77640,9976,11.39
Collections Specialist II..,19122,52,33,93973,72668,21305,22.67
Collections Specialist..,18811,52,34,80551,69908,10643,13.21
Collections Specialist..,20351,52,25,99325,74621,24704,24.87
Collections Specialist..,20308,52,25,79035,70419,8616,10.9
Collections Specialist..,21495,52,17,94576,82246,12330,13.04
Collections Specialist.Senior Lead.,7669,52,93,138234,103755,34479,24.94
Collections Specialist.Senior Lead.,5637,52,113,121945,104423,17522,14.37
Collections Specialist.Senior.,6548,52,104,133761,113381,20380,15.24
Collections Specialist.Senior.,10137,52,75,118803,63761,55042,46.33
Collections Specialist.Senior.,16100,52,49,121659,105283,16376,13.46
Collections Specialist.Senior.,6586,52,103,109934,94501,15433,14.04
Collections Specialist.Senior.,14435,52,61,107465,82188,25277,23.52
Collections Supervisor..,4070,52,150,134700,107206,27494,20.41
Commissions Analyst II..,14530,51,60,110257,94609,15648,14.19
Commissions Analyst.Senior.,8857,51,84,112805,33439,79366,70.36
Compensation and Benefits Specialist.Senior.,3942,72,123,232765,137256,95509,41.03
Contract/Billing Analyst II..,12370,52,62,93458,80876,12582,13.46
Contract/Billing Analyst II..,12349,52,63,104470,78387,26083,24.97
Contract/Billing Analyst II..,15857,52,50,101320,77255,24065,23.75
Contract/Billing Analyst II..,16457,52,47,167190,137220,29970,17.93
Contract/Billing Analyst II..,16214,52,48,96386,82760,13626,14.14
Contract/Billing Analyst II..,11949,52,65,84207,77051,7156,8.5
Contract/Billing Analyst..,20726,52,22,88729,62718,26011,29.32
Contract/Billing Analyst..,22429,52,10,81817,78117,3700,4.52
Contract/Billing Analyst..,21781,52,14,89125,70412,18713,21
Contract/Billing Analyst..,20830,52,21,82831,72776,10055,12.14
Contract/Billing Analyst..,20652,52,23,89433,74745,14688,16.42
Contract/Billing Analyst..,19957,52,28,75997,68477,7520,9.9
Contract/Billing Analyst..,21711,52,14,118734,117373,1361,1.15
Contract/Billing Analyst..,19938,52,28,55644,52381,3263,5.86
Contract/Billing Analyst..,17733,52,39,86862,53032,33830,38.95
Contract/Billing Analyst..,23001,52,6,92714,87187,5527,5.96
Contract/Billing Analyst.Associate.,22292,52,11,66312,62049,4263,6.43
Contract/Billing Analyst.Associate.,22298,52,11,66912,63986,2926,4.37
Contract/Billing Analyst.Senior Lead.,9941,52,76,113498,92624,20874,18.39
Contract/Billing Analyst.Senior Lead.,6161,52,81,105936,87427,18509,17.47
Contract/Billing Analyst.Senior.,11023,52,70,119909,72111,47798,39.86
Contract/Billing Analyst.Senior.,7910,52,91,99648,70407,29241,29.34
Contract/Billing Analyst.Senior.,10265,52,74,122378,58204,64174,52.44
Contract/Billing Analyst.Senior.,14785,52,59,106837,91954,14883,13.93
Contract/Billing Analyst.Senior.,10106,52,75,119557,85318,34239,28.64
Contract/Billing Analyst.Senior.,8941,52,83,136574,73712,62862,46.03
Contract/Billing Analyst.Senior.,11202,52,69,108139,96176,11963,11.06
Corporate Services Specialist.Senior Lead.,11930,59,65,107049,68501,38548,36.01
Counsel..,21970,79,13,197486,125252,72234,36.58
Counsel.Senior.,21184,79,18,329901,232911,96990,29.4
Customer Incident Manager II..,21168,10,19,218690,147528,71162,32.54
Customer Incident Manager II..,4900,10,132,225741,133635,92106,40.8
Customer Incident Manager..,22360,10,10,183340,146848,36492,19.9
Data Engineer II..,21090,36,20,120620,97288,23332,19.34
Data Engineer..,22146,36,12,73813,57558,16255,22.02
Data Engineer..,20816,36,22,97981,70014,27967,28.54
Data Engineer.Senior II Lead.,14058,36,59,242018,144561,97457,40.27
Data Engineer.Senior.,20957,36,21,183012,111450,71562,39.1
Data Scientist..,22359,122,10,138867,101954,36913,26.58
Data Scientist.Senior.,22750,122,8,199333,139639,59694,29.95
Data Scientist.Senior.,15570,87,53,231067,186444,44623,19.31
Data Scientist.Senior.,22769,122,8,167600,96868,70732,42.2
Database Administrator II..,5782,46,117,168377,120917,47460,28.19
Database Administrator II..,20528,46,24,165443,132914,32529,19.66
Database Administrator.Senior Lead.,14235,46,61,281660,197175,84485,30
Deal Desk Analyst II..,8848,53,68,110314,95604,14710,13.33
Deal Desk Analyst.Senior Lead.,8180,53,88,208856,91469,117387,56.2
Deal Desk Analyst.Senior.,16513,53,47,172987,137660,35327,20.42
Deal Desk Analyst.Senior.,6374,53,106,197567,140147,57420,29.06
Developer Evangelist..,17203,146,41,343230,191502,151728,44.21
Director..Account Management,8113,16,89,456160,225164,230996,50.64
Director..Accounting,5238,50,123,385084,198291,186793,48.51
Director..Customer Financial Operations,5433,52,121,492954,309398,183556,37.24
Director..Engineering,16706,42,45,968178,466509,501669,51.82
Director..Engineering,11865,93,65,767947,374354,393593,51.25
Director..Engineering,3936,43,120,519979,251383,268596,51.66
Director..Engineering,15660,37,52,711862,456189,255673,35.92
Director..Engineering,3068,82,173,730261,302652,427609,58.56
Director..Finance,8301,97,87,638987,414768,224219,35.09
Director..Human Resources,5069,71,127,747518,366424,381094,50.98
Director..Platform Operations,8694,120,85,491032,240075,250957,51.11
Director..Product Line,5960,89,113,618037,307305,310732,50.28
Director..Product Operations,11499,129,67,552153,272565,279588,50.64
Director..Program Management,2810,154,190,426883,221730,205153,48.06
Director..Program Management Technical,11441,43,68,614940,304828,310112,50.43
Director..Service Line,9221,26,81,559084,292979,266105,47.6
Director..Technical Support,4421,11,143,443238,296946,146292,33.01
Director..Technical Support,17732,11,39,486983,269308,217675,44.7
Director.Senior.Engineering,5162,76,125,764148,457836,306312,40.09
Director.Senior.Technical Support,5989,11,113,564931,270306,294625,52.15
Documentation and Training Specialist..,17259,41,41,104813,87133,17680,16.87
Documentation and Training Specialist.Senior.,18239,41,37,130710,111708,19002,14.54
Documentation and Training Specialist.Senior.,17835,41,38,186658,139906,46752,25.05
Documentation and Training Specialist.Senior.,17663,41,39,181728,141377,40351,22.2
ECG Sales Manager..,4995,92,102,352455,206916,145539,41.29
Engagement Manager II..,8360,18,27,209378,128164,81214,38.79
Engagement Manager.Senior.,11668,18,25,260309,187313,72996,28.04
Enterprise Sales Executive.Principal.New and Existing Accts,20635,20,23,449442,297643,151799,33.77
Enterprise Security Architect.Senior II.,22033,24,12,432400,293268,139132,32.18
Enterprise Security Architect.Senior.,16441,24,48,237803,138768,99035,41.65
Escalation Manager..,4608,26,139,278248,164628,113620,40.83
Executive Assistant..,21166,145,19,152512,98677,53835,35.3
Finance Systems Analyst..,11251,55,69,106644,76684,29960,28.09
Finance Systems Analyst.Associate.,22432,34,10,64863,53246,11617,17.91
Finance Systems Analyst.Senior Lead.,4074,55,8,253273,167332,85941,33.93
Financial Analyst II..,20977,147,21,114114,75367,38747,33.95
Financial Analyst II..,22435,147,10,129450,99486,29964,23.15
Financial Analyst..,21713,97,14,75400,65128,10272,13.62
Financial Analyst.Senior Lead.,8234,147,88,190606,141653,48953,25.68
Financial Analyst.Senior.,9870,97,77,187720,132579,55141,29.37
Financial Analyst.Senior.,11347,147,63,177650,142009,35641,20.06
Global Corporate Card Specialist.Senior.,22784,58,8,111591,105477,6114,5.48
Graphic Designer II..,10516,78,35,92187,79386,12801,13.89
Graphic Designer II..,8277,78,87,126802,81582,45220,35.66
Graphic Designer II..,9159,78,41,96100,68327,27773,28.9
Graphic Designer.Senior Lead.,9877,78,77,170118,135430,34688,20.39
Hardware Performance Engineer II..,8911,114,83,155130,125345,29785,19.2
Hardware Performance Engineer II..,5993,114,113,143287,97853,45434,31.71
Help Desk Administrator..,20820,46,13,66683,51500,15183,22.77
Help Desk Administrator..,14768,46,59,69255,49040,20215,29.19
Help Desk Administrator.Senior.,16771,46,45,76504,70499,6005,7.85
Help Desk Specialist..,10249,46,74,92346,79630,12716,13.77
Help Desk Specialist..,4998,46,104,110466,98824,11642,10.54
Help Desk Specialist..,10990,46,22,88840,75441,13399,15.08
Help Desk Specialist.Associate.,21714,46,14,64154,59002,5152,8.03
Human Resources Business Partner II..,8715,71,85,240530,141297,99233,41.26
Human Resources Business Partner II..,14300,71,61,189612,72857,116755,61.58
Human Resources Business Partner.Senior.,19563,71,31,321045,144491,176554,54.99
Human Resources Specialist II..,8849,73,62,102283,62511,39772,38.88
Human Resources Specialist II..,6473,73,69,99509,85998,13511,13.58
Incident Manager..,8450,118,86,210649,93901,116748,55.42
Incident Manager..,4028,118,150,225669,168573,57096,25.3
Infrastructure Delivery Manager II..,7887,109,91,164386,109732,54654,33.25
Infrastructure Delivery Manager II..,9871,110,71,141286,112724,28562,20.22
Infrastructure Delivery Manager..,22171,109,12,128950,113871,15079,11.69
Infrastructure Delivery Manager..,20524,109,24,142695,112539,30156,21.13
Infrastructure Delivery Manager..,15478,110,54,112067,104317,7750,6.92
Infrastructure Delivery Manager..,22902,109,7,286487,254322,32165,11.23
Instructional Designer.Senior.,12419,78,41,168148,108545,59603,35.45
Instructional Designer.Senior.,8092,78,89,298183,295901,2282,0.77
Instructional Designer.Senior.,8266,78,23,195114,144455,50659,25.96
Lab Manager II..,15665,108,52,104313,90502,13811,13.24
Lead..Account Management,10345,40,74,144182,93110,51072,35.42
Lead..Account Management,5920,40,115,153716,125768,27948,18.18
Lead..Account Management,7856,15,91,159805,126020,33785,21.14
Lead..Account Management,9358,15,79,168456,136841,31615,18.77
Lead..Account Management,15715,15,51,145626,116160,29466,20.23
Learning & Development Specialist II..,19471,74,32,101739,84901,16838,16.55
Learning & Development Specialist II.Lead.,14346,74,61,113845,90121,23724,20.84
LMS Administrator II..,20849,78,8,87300,57351,29949,34.31
LMS Administrator II..,6951,78,92,117344,97471,19873,16.94
LMS Administrator.Senior Lead.,10107,78,75,171423,135581,35842,20.91
Logistics Analyst.Lead.,5543,110,120,120608,104611,15997,13.26
Logistics Analyst.Lead.,9828,109,77,129348,96214,33134,25.62
Logistics Specialist..,18103,109,37,73083,67203,5880,8.05
Logistics Specialist.Senior.,7002,110,98,92174,84207,7967,8.64
Logistics Specialist.Senior.,8884,110,84,99142,78020,21122,21.3
Manager..Account Management,4033,16,151,187782,133922,53860,28.68
Manager..Account Management,5591,40,119,199215,122118,77097,38.7
Manager..Account Management,5095,15,126,191767,122343,69424,36.2
Manager..Account Management,4693,15,30,224094,171345,52749,23.54
Manager..Account Management,5349,15,121,227938,169720,58218,25.54
Manager..Account Management,8392,15,87,213322,154936,58386,27.37
Manager..Account Management,19673,15,30,227176,220778,6398,2.82
Manager..Booking Operations,4778,55,134,185000,131235,53765,29.06
Manager..Business Operations,8033,84,89,236048,159406,76642,32.47
Manager..Collections,14354,52,61,220528,181240,39288,17.82
Manager..Collections,5005,52,128,176006,134417,41589,23.63
Manager..Contract Management,6426,52,106,173948,108877,65071,37.41
Manager..Contract Management,6048,52,112,162978,129296,33682,20.67
Manager..Contract Management,6125,52,110,185718,119699,66019,35.55
Manager..ECG,7685,141,93,285436,205694,79742,27.94
Manager..Engineering,10837,106,71,367155,202982,164173,44.71
Manager..Engineering,9374,82,79,298537,159789,138748,46.48
Manager..Engineering,8995,96,83,375290,210133,165157,44.01
Manager..Engineering,4886,113,132,269696,199135,70561,26.16
Manager..Engineering,10870,34,71,271871,163294,108577,39.94
Manager..Engineering,9793,63,77,320957,204378,116579,36.32
Manager..Engineering,19062,28,33,286415,176917,109498,38.23
Manager..Engineering,9727,37,78,312440,213186,99254,31.77
Manager..Engineering,16710,42,45,358422,192551,165871,46.28
Manager..Engineering,4165,93,148,335481,214440,121041,36.08
Manager..Engineering,15490,102,54,380720,207185,173535,45.58
Manager..Engineering,11442,93,68,352286,159536,192750,54.71
Manager..Engineering,9079,37,82,326866,217549,109317,33.44
Manager..Engineering,9846,43,77,247721,169930,77791,31.4
Manager..Engineering,4203,34,147,226729,136859,89870,39.64
Manager..Engineering,6400,34,106,285798,121640,164158,57.44
Manager..Engineering,5756,104,117,420806,218794,202012,48.01
Manager..Engineering,10031,63,75,318763,186976,131787,41.34
Manager..Engineering,6480,93,105,308426,199928,108498,35.18
Manager..Engineering,20167,82,26,353531,196518,157013,44.41
Manager..Engineering,20335,43,25,272,272,0,0
Manager..Engineering,15790,106,50,335684,172302,163382,48.67
Manager..Engineering,11946,104,65,332960,229903,103057,30.95
Manager..Engineering,7905,76,91,307862,173105,134757,43.77
Manager..Engineering,8025,34,90,279287,160671,118616,42.47
Manager..Engineering,16917,151,44,351616,232694,118922,33.82
Manager..Engineering,22396,45,10,358000,48700,309300,86.4
Manager..Engineering,20666,104,23,289219,122109,167110,57.78
Manager..Engineering,5606,122,12,401881,275262,126619,31.51
Manager..Enterprise Security Operations,9001,44,83,192152,147445,44707,23.27
Manager..Finance,7446,55,95,236271,144135,92136,39
Manager..Finance,4760,147,134,186510,138055,48455,25.98
Manager..HR Operations,5699,73,118,219469,115087,104382,47.56
Manager..Network Administration,21720,46,14,273733,197619,76114,27.81
Manager..Network Design,4757,112,84,296066,224995,71071,24.01
Manager..Network Infrastructure,19160,109,33,196477,151417,45060,22.93
Manager..Network Infrastructure,7418,109,95,211248,162654,48594,23
Manager..Online Properties,5521,85,120,297612,178894,118718,39.89
Manager..Order Management,4359,52,144,167265,118021,49244,29.44
Manager..Payroll,2924,50,178,235767,102344,133423,56.59
Manager..Platform Operations,2944,118,173,254923,133188,121735,47.75
Manager..Platform Operations,3357,118,164,280266,65184,215082,76.74
Manager..Platform Operations,7320,118,95,280767,157189,123578,44.01
Manager..Product Operations,6334,77,107,235975,156820,79155,33.54
Manager..Program Management Technical,18915,115,16,360603,252664,107939,29.93
Manager..Program Management Technical,10290,121,74,379039,197248,181791,47.96
Manager..Q/A Engineering,9904,76,76,268334,173744,94590,35.25
Manager..Q/A Engineering,8633,76,85,228221,139316,88905,38.96
Manager..Q/A Engineering,19021,42,33,318362,183254,135108,42.44
Manager..Q/A Engineering,5976,76,113,248050,92883,155167,62.55
Manager..Q/A Engineering,9886,76,68,214243,157102,57141,26.67
Manager..Reliability Engineering,3989,134,147,361699,153403,208296,57.59
Manager..Reliability Engineering,5759,122,28,304702,172062,132640,43.53
Manager..Sales Operations,4585,60,86,274588,136379,138209,50.33
Manager..Sales Operations,6380,148,106,213085,141973,71112,33.37
Manager..Service Line,11742,142,66,301858,116339,185519,61.46
Manager..Service Line,8090,23,89,280565,203764,76801,27.37
Manager..Software Development Engineer in Test,22397,106,10,302467,173773,128694,42.55
Manager..Software Development Engineer in Test,17184,151,41,271099,198345,72754,26.84
Manager..Software Development Engineer in Test,4086,101,150,261530,156717,104813,40.08
Manager..Software Development Engineer in Test,8222,131,88,330929,144458,186471,56.35
Manager..Software Development Engineer in Test,5728,39,117,313945,227415,86530,27.56
Manager..Software Development Engineer in Test,5545,93,120,285235,154610,130625,45.8
